indicator,sex,geo_area,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Population estimée,Féminin,Cameroun,11706439,12008210,12302530,12609255,12903376,13207360,13524925,13852591,14172262,14474880
Population estimée,Féminin,Adamaoua,591088,607154,623136,639606,655552,672000,690100,709075,727354,744976
Population estimée,Féminin,Centre (Sans Yaoundé),742018,754629,766211,778692,790090,802400,815181,828614,840901,852500
Population estimée,Féminin,Est,523485,536177,548355,560966,573285,585536,598720,612687,626495,639307
Population estimée,Féminin,Extrême-Nord,2093354,2156170,2219628,2287721,2354338,2423643,2498423,2576697,2654990,2730991
Population estimée,Féminin,Littoral (Sans Douala),325856,328348,330422,332617,334306,336122,338158,340208,341786,342555
Population estimée,Féminin,Nord,1263182,1310639,1358662,1409588,1460037,1512885,1561507,1612084,1662294,1710063
Population estimée,Féminin,Nord-Ouest,1019995,1035494,1049292,1064002,1076342,1088310,1101845,1114910,1126920,1137003
Population estimée,Féminin,Sud,395644,402124,408024,414402,420418,426836,433896,441011,447933,454584
Population estimée,Féminin,Sud-Ouest,875160,894774,913689,932757,950782,969105,988287,1008175,1027251,1044896
Population estimée,Féminin,Ouest,937977,949370,959660,969767,978284,987521,997222,1007498,1016753,1024332
Population estimée,Féminin,Douala,1488593,1535146,1580352,1626901,1671901,1717988,1766877,1815826,1863599,1910179
Population estimée,Féminin,Yaoundé,1450087,1498185,1545099,1592236,1638041,1685014,1734709,1785806,1835986,1883494
Population estimée,Masculin,Cameroun,11935961,12245547,12560807,12883098,13229659,13558162,13894212,14236254,14586241,14967447
Population estimée,Masculin,Adamaoua,614593,632576,651192,670060,690382,709714,730445,751853,773374,796797
Population estimée,Masculin,Centre (Sans Yaoundé),746553,759596,772424,785789,800261,813967,827801,842044,856072,872212
Population estimée,Masculin,Est,521657,534204,546813,559601,573696,586492,600016,614110,628736,644464
Population estimée,Masculin,Extrême-Nord,2115079,2176359,2240418,2307948,2380537,2450660,2525122,2602113,2681902,2768123
Population estimée,Masculin,Littoral (Sans Douala),322209,324335,326367,328367,330746,332539,334408,336187,337861,339782
Population estimée,Masculin,Nord,1292823,1342202,1393586,1447284,1504731,1561441,1612409,1664807,1718700,1775852
Population estimée,Masculin,Nord-Ouest,1125739,1144815,1163341,1182300,1202161,1219009,1236998,1254148,1271568,1291170
Population estimée,Masculin,Sud,374776,380307,385660,391339,397772,403776,410239,416631,423327,431154
Population estimée,Masculin,Sud-Ouest,862876,883291,903978,924412,946411,966710,987482,1008653,1030139,1053592
Population estimée,Masculin,Ouest,1076305,1090896,1105505,1119530,1135083,1148909,1162911,1177228,1191761,1208512
Population estimée,Masculin,Douala,1459871,1505995,1552531,1599813,1650269,1698493,1748925,1799029,1850142,1906354
Population estimée,Masculin,Yaoundé,1423480,1470971,1518992,1566655,1617610,1666452,1717456,1769451,1822659,1879435
Population estimée,Total,Cameroun,23642400,24253757,24863337,25492353,26133035,26765522,27419137,28088845,28758503,29442327
Population estimée,Total,Adamaoua,1205681,1239730,1274328,1309666,1345934,1381714,1420545,1460928,1500728,1541773
Population estimée,Total,Centre (Sans Yaoundé),1488571,1514225,1538635,1564481,1590351,1616367,1642982,1670658,1696973,1724712
Population estimée,Total,Est,1045142,1070381,1095168,1120567,1146981,1172028,1198736,1226797,1255231,1283771
Population estimée,Total,Extrême-Nord,4208433,4332529,4460046,4595669,4734875,4874303,5023545,5178810,5336892,5499114
Population estimée,Total,Littoral (Sans Douala),648065,652683,656789,660984,665052,668661,672566,676395,679647,682337
Population estimée,Total,Nord,2556005,2652841,2752248,2856872,2964768,3074326,3173916,3276891,3380994,3485915
Population estimée,Total,Nord-Ouest,2145734,2180309,2212633,2246302,2278503,2307319,2338843,2369058,2398488,2428173
Population estimée,Total,Sud,770420,782431,793684,805741,818190,830612,844135,857642,871260,885738
Population estimée,Total,Sud-Ouest,1738036,1778065,1817667,1857169,1897193,1935815,1975769,2016828,2057390,2098488
Population estimée,Total,Ouest,2014282,2040266,2065165,2089297,2113367,2136430,2160133,2184726,2208514,2232844
Population estimée,Total,Douala,2948464,3041141,3132883,3226714,3322170,3416481,3515802,3614855,3713741,3816533
Population estimée,Total,Yaoundé,2873567,2969156,3064091,3158891,3255651,3351466,3452165,3555257,3658645,3762929
Enfants de 0-11 mois,Total,Cameroun,817510,840654,857962,874840,888916,904194,920610,936955,961049,974138
Enfants de 0-11 mois,Total,Adamaoua,45547,47222,48858,49589,50739,51982,53415,54990,55756,56988
Enfants de 0-11 mois,Total,Centre (Sans Yaoundé),49911,50931,50921,52185,52377,53503,53369,54420,54475,55796
Enfants de 0-11 mois,Total,Est,33876,35014,35391,35865,36971,37261,37454,38743,40293,40439
Enfants de 0-11 mois,Total,Extrême-Nord,188905,197251,204822,213270,218201,222736,230136,236943,244965,250115
Enfants de 0-11 mois,Total,Littoral (Sans Douala),19155,19241,19299,19389,19398,19389,19410,19406,19439,18930
Enfants de 0-11 mois,Total,Nord,109817,115102,119972,125141,128855,132557,137175,140908,145090,146085
Enfants de 0-11 mois,Total,Nord-Ouest,67590,68994,68634,69889,68962,67935,68815,67789,68931,69313
Enfants de 0-11 mois,Total,Sud,22674,22927,22685,23316,23730,24691,24848,24831,25779,26607
