region_code,region_name,department_code,department_name,population,reference_year,source_document_slug,source_sha256,confidence
AD,Adamaoua,AD-DJ,Djerem,203655,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
AD,Adamaoua,AD-FD,Faro et Deo,164663,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
AD,Adamaoua,AD-MB,Mayo-Banyo,282690,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
AD,Adamaoua,AD-MR,Mbere,271791,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
AD,Adamaoua,AD-VI,Vina,602376,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
CE,Centre,CE-HS,Haute Sanaga,137728,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
CE,Centre,CE-LK,Lekie,509457,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
CE,Centre,CE-MI,Mbam et Inoubou,283482,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
CE,Centre,CE-MK,Mbam et Kim,252215,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
CE,Centre,CE-MA,Mefou et Afamba,704072,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
CE,Centre,CE-MO,Mefou et Akono,232897,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
CE,Centre,CE-MF,Mfoundi,2461729,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
CE,Centre,CE-NK,Nyong-et-Kelle,245868,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
CE,Centre,CE-NM,Nyong et Mfoumou,160115,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
CE,Centre,CE-NS,Nyong et So'o,216607,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
ES,Est,ES-BN,Boumba et Ngoko,159102,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
ES,Est,ES-HN,Haut Nyong,266975,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
ES,Est,ES-KA,Kadey,249473,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
ES,Est,ES-LD,Lom et Djerem,524731,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
EN,Extreme-Nord,EN-DI,Diamare,1216243,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
EN,Extreme-Nord,EN-LC,Logone et Chari,950791,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
EN,Extreme-Nord,EN-MD,Mayo Danay,1071632,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
EN,Extreme-Nord,EN-MK,Mayo Kani,873105,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
EN,Extreme-Nord,EN-MS,Mayo Sava,503787,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
EN,Extreme-Nord,EN-MT,Mayo Tsanaga,957731,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
LT,Littoral,LT-MO,Moungo,662755,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
LT,Littoral,LT-NK,Nkam,85564,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
LT,Littoral,LT-SM,Sanaga-Maritime,286715,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
LT,Littoral,LT-WO,Wouri,3212469,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
NO,Nord,NO-BE,Benoue,1817117,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
NO,Nord,NO-FA,Faro,153100,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
NO,Nord,NO-ML,Mayo Louti,833378,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
NO,Nord,NO-MR,Mayo Rey,949890,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
NW,Nord-Ouest,NW-BO,Boyo,161797,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
NW,Nord-Ouest,NW-BU,Bui,313590,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
NW,Nord-Ouest,NW-DM,Donga Mantung,259837,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
NW,Nord-Ouest,NW-ME,Menchum,126547,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
NW,Nord-Ouest,NW-MZ,Mezam,572139,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
NW,Nord-Ouest,NW-MM,Momo,158425,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
NW,Nord-Ouest,NW-NK,Ngo-Ketunjia,181774,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
OU,Ouest,OU-BA,Bamboutos,499618,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
OU,Ouest,OU-HN,Haut-Nkam,212680,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
OU,Ouest,OU-HP,Hauts-Plateaux,312312,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
OU,Ouest,OU-KK,Koung-Khi,245987,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
OU,Ouest,OU-MN,Menoua,615467,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
OU,Ouest,OU-MI,Mifi,474536,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
OU,Ouest,OU-ND,Nde,228581,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
OU,Ouest,OU-NO,Noun,726009,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
SU,Sud,SU-DL,Dja et Lobo,265178,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
SU,Sud,SU-MV,Mvila,310239,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
SU,Sud,SU-OC,Ocean,241195,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
SU,Sud,SU-VN,Vallee du Ntem,122126,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
SW,Sud-Ouest,SW-FA,Fako,556785,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
SW,Sud-Ouest,SW-KM,Kupe Manengouba,137300,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
SW,Sud-Ouest,SW-LE,Lebialem,73309,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
SW,Sud-Ouest,SW-MA,Manyu,124827,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
SW,Sud-Ouest,SW-ME,Meme,346334,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
SW,Sud-Ouest,SW-ND,Ndian,85632,2023,bucrep-projections-demographiques-2023,a2c950b1bd51643ab482591414b7bd7e7ea0600d17a80bea790fa1ea3920d620,official_estimate
