code,name,region_id,department_id,arrondissement_id,registered_voters,location_name,latitude,longitude,source_document_slug,source_sha256,source_position,source_confidence
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0001,ECOLE PUBLIQUE ALI - AFFAIRE / A,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,200,ADAMAOUA / DJEREM / NGAOUNDAL / ALI - AFFAIRE,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,1,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0002,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / A,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,353,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,2,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0003,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / B,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,344,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,3,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0004,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / C,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,370,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,4,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0005,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / D,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,341,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,5,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0006,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / E,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,336,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,6,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0007,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / F,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,333,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,7,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0008,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / G,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,343,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,8,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0009,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / H,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,372,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,9,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0010,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / I,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,412,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,10,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0011,ECOLE PUBLIQUE MALARBA- BEKA / A,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,289,ADAMAOUA / DJEREM / NGAOUNDAL / BAMYANGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,11,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0012,ECOLE PUBLIQUE MALARBA- BEKA / B,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,234,ADAMAOUA / DJEREM / NGAOUNDAL / BAMYANGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,12,official
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0013,ECOLE PUBLIQUE BAMYANGA BORORO / A,a1000001-0000-0000-0000-000000000001,350a7411-0e15-424a-964a-353d3c89709c,0925baeb-0858-43e9-8e85-80f9fd944863,265,ADAMAOUA / DJEREM / NGAOUNDAL / BAMYANGA,,,elecam-bv-2025-adamaoua,e3fdf74fdb0cd9e470e3a5bec48167e2cbdae32b5e8b5ddd28ad0ae1c657ee2f,13,official
