code,name,region_id,department_id,arrondissement_id,registered_voters,location_name,latitude,longitude
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0001,ECOLE PUBLIQUE ALI - AFFAIRE / A,,,,200,ADAMAOUA / DJEREM / NGAOUNDAL / ALI - AFFAIRE,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0002,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / A,,,,353,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0003,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / B,,,,344,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0004,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / C,,,,370,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0005,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / D,,,,341,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0006,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / E,,,,336,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0007,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / F,,,,333,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0008,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / G,,,,343,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0009,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / H,,,,372,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0010,ECOLE PUBLIQUE GROUPE I NGAOUNDAL / I,,,,412,ADAMAOUA / DJEREM / NGAOUNDAL / BALONGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0011,ECOLE PUBLIQUE MALARBA- BEKA / A,,,,289,ADAMAOUA / DJEREM / NGAOUNDAL / BAMYANGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0012,ECOLE PUBLIQUE MALARBA- BEKA / B,,,,234,ADAMAOUA / DJEREM / NGAOUNDAL / BAMYANGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0013,ECOLE PUBLIQUE BAMYANGA BORORO / A,,,,265,ADAMAOUA / DJEREM / NGAOUNDAL / BAMYANGA,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0014,ECOLE PUBLIQUE BEKA - GOTTO / A,,,,327,ADAMAOUA / DJEREM / NGAOUNDAL / BEKA - GOTTO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0015,ECOLE PUBLIQUE BEKA - GOTTO / B,,,,333,ADAMAOUA / DJEREM / NGAOUNDAL / BEKA - GOTTO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0016,ECOLE PUBLIQUE BEKA - GOTTO / C,,,,252,ADAMAOUA / DJEREM / NGAOUNDAL / BEKA - GOTTO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0017,ECOLE FRANCO-ARABE NGAOUNDAL / A,,,,353,ADAMAOUA / DJEREM / NGAOUNDAL / BEKA - GOTTO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0018,ECOLE FRANCO-ARABE NGAOUNDAL / B,,,,326,ADAMAOUA / DJEREM / NGAOUNDAL / BEKA - GOTTO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0019,ECOLE FRANCO-ARABE NGAOUNDAL / C,,,,314,ADAMAOUA / DJEREM / NGAOUNDAL / BEKA - GOTTO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0020,ECOLE FRANCO-ARABE NGAOUNDAL / D,,,,312,ADAMAOUA / DJEREM / NGAOUNDAL / BEKA - GOTTO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0021,ECOLE FRANCO-ARABE NGAOUNDAL / E,,,,309,ADAMAOUA / DJEREM / NGAOUNDAL / BEKA - GOTTO,,
ELECAM-2025-AD-DJEREM-NGAOUNDAL-0022,ECOLE PUBLIQUE BELAFOUKOU / A,,,,170,ADAMAOUA / DJEREM / NGAOUNDAL / BELAFOUKOU,,
